DSS No.,Asset development stages,Leading practice area,Leading practice activity,Context,Decision(s),Rationale,Information requirements,Technical and process considerations,Related ARD/ML leading practices areas/activities,Useful GARD Guide resources,Figure 1,Figure 2,Figure 3,Content
11,Exploration,Integrated closure,Integrated Closure,"In some regulatory jurisdictions, a closure plan associated with exploration activities may be required. This is typically a preliminary document, focusing on exploration activities only and separate from the later closure plan addressing closure of the asset. Regardless of jurisdictional requirements, it is leading practice to have a closure plan for exploration in the event that the asset does not progress to an operation. Additionally, the exploration stage represents the most efficient opportunity to obtain initial samples to start to identify potential closure risks associated with ARD/ML. ","(1) Are the ARD/ML management requirements associated with exploration activities defined in the exploration closure plan?
(2) Are the exploration asset development stage information requirements for the long-term management of ARD/ML risks identified and incorporated in the closure plan?",Characterisation and prediction of ARD/ML followed by identification of prevention measures are key to responsible closure planning and should be addressed from the earliest stage of mine planning. ARD/ML data obtained during the exploration stage are used to inform the ARD/ML management plan and integrated closure plan.,"(1) Available geological information on ore body including, but not limited to, (a) geological (conceptual) model of ore deposit, (b) ore genesis and host rock controls, (c) mineralogy of ore and host rock, and (d) information from analogue sites or geoenvironmental models of similar ore deposits.
(2) Exploration sampling and analyses plan
(3) Assay list of parameters
(4) Information on chemicals used during exploration","While a detailed ARD/ML management plan is not developed in the exploration stage, early geochemical characterisation results collected during this stage are used to inform discussions of chemical stability in the conceptual closure plan.",(1) Develop and refine ARD/ML management plan → Characterisation,"(1) Chapter 4: Defining the Problem - Characterisation
(2) Chapter 4, Table 4-4: Geological characteristics of mineral deposits affecting their environmental signatures
(3) Chapter 5, Section 5.4.4: Introduction to Geochemical Characterisation
(4) Chapter 5, Section 5.4.10: Net Acid or ARD Potential
(5) Chapter 11: Sustainable Mine Closure",Picture,No figure,No figure,Y
12,Design,ARD/ML governance and strategy,Define ARD/ML Governance and Strategy at Corporate Level,"ARD/ML governance and strategy is defined at the corporate level and is influenced by three main factors: 
(1) Community Guidance - every asset is established within a community that includes all interested and affected parties (eg immediate neighbours; local, regional and national communities; and global non-governmental organizations). Local communities are the most directly affected by an asset. They are highly influential, have real and perceived rights, and often have the most complex needs. Communities can grant/withdraw the social privilege to operate and corporate governance should consider the challenges, risks, and opportunities related to community engagement.
(2) Industry Guidance - although mining companies are not obligated to comply with global industry guidance unless it is a condition of funding, it is considered leading practice to adhere to such guidance unless it conflicts with regulations or other mandatory requirements. Global guidance provided by organizations such as ICMM, INAP, the World Bank, the International Finance Corporation, the World Health Organization (to name a few) is robust and covers technical subjects from material characterisation through ARD/ML prevention, mitigation, across all asset development stages including closure. 
(3) Regulatory or Financial Requirements - mining companies, irrespective of size, must adhere to the national, regional, and local legislation and regulations of the jurisdictions where they operate. In most regulatory regimes, mining proponents are required at an early stage to address potential environmental risks (including ARD/ML) through an environmental impact study and subsequently through environmental management plans and closure plans. See GARD Guide chapter 3, section 3.5. In addition, mining companies may be required to disclose sustainability information to investors, securities commissions, and other stakeholders.

Responsible corporate ARD/ML governance and strategy will balance the minimum requirements for the company to operate with the company's alignment with sustainability practices.","(1) Are company ARD/ML-related risk tolerances appropriately defined based on environmental commitments, the views of its stakeholders, and the jurisdictions in which it operates?
(2) Are implementation strategies for leading practices appropriately defined to meet/exceed the company's ARD/ML vision and uphold its reputation?","A company can only operate at an asset level, and obtain access to new resources, if it obtains, and keeps, its privilege to operate through implementation of Leading practices. The privilege to operate is typically defined by the local communities and the regulatory landscapes in which the company operates. ","(1) Jurisdictions of all company assets
(2) Applicable regulatory requirements
(3) Global guidelines
(4) Corporate policies, including commitments to sustainability principles
(5) Needs, concerns, and expectations of local, national, and global communities relevant to company activities","Considerations when setting the ARD/ML strategy include:
(1) Community needs may change with time, asset development stage, and socioeconomic status. Therefore, it is imperative to remain aware of the changing conditions at assets and feedback should be fed back to corporate.
(2) Corporate guidelines should represent the company’s view of the priorities to be addressed and their interpretation of generally accepted leading practice. 
(3) Companies often makes corporate commitments regarding ARD/ML that form the foundation of the social privilege to operate. Should an asset fail to meet its commitments, this privilege can be placed at risk. While ARD/ML issues generally are of a highly technical nature, the adverse consequences of getting it wrong can be material.
(4) There is, therefore, no one size fits all approach to address ARD/ML management and the strategy set at the corporate level must consider that ARD/ML management is to be implemented in recognition of the unique social, economic, and environmental situation of each asset.
(5) ARD/ML corporate guidance can include, among others: (a) corporate charter with commitments on performance and consultation, (b) commitments to external sustainability principles and metrics, (c) public targets for environmental, social and closure performance, (d) quantitative and prescriptive performance criteria, (e) risk assessment protocols and methodologies to develop asset-specific performance criteria, and (f) technical guidelines with methodologies to follow for assessment, design, and evaluation of water quality and ARD/ML.
(6) It is increasingly common to ascribe to the principle that the practices in the home country of the company (ie company headquarters location) should be considered where they are more stringent than the local requirements (ie an asset's location). Corporate governance related to environmental performance should not be compromised based on a geographical location. Moreover, non-governmental organizations, financing institutions, and other stakeholders judge performance based on the company as whole and not on individual locations. 
(7) The corporate strategy should identify the functions responsible and accountable across the business (asset and corporate) for implementation of ARD/ML management, monitoring and assessing performance, and engaging if/when implementation of additional prevention or mitigation measures is required. ","(1) ARD/ML objectives, standards, and KPIs → Set ARD/ML objectives, standards, and KPIs at asset level [all asset development stages]","(1) Chapter 3: Corporate, Regulatory, and Community Framework
(2) Chapter 3, Section 3.5: Country Regulatory Guidance
(3) Chapter 10: ARD Communication and Consultation
(4) Chapter 11: Sustainable Mine Closure",Picture,No figure,No figure,Y
13,Design,"ARD/ML objectives, standards, and KPIs","Set ARD/ML Objectives, Standards, and KPIs at Asset Level","It is essential to set ARD/ML objectives at the asset level to identify relevant KPIs that can be used to assess the implementation of an ARD/ML management strategies. Objectives should be realistic in the context of the site's biophysical setting, regulatory and legal regime, community and corporate requirements, and financial considerations.","(1) Are feasible ARD/ML objectives and standards that meet corporate and regulatory requirements defined for the asset?
(2) Are suitable KPIs to assess performance against set objectives and standards defined for the asset?","Establishing clear ARD/ML objectives allows for the development and implementation of a robust ARD/ML management plan that can be readily adapted throughout all asset development stages. Every asset has unique influencers (eg ARD/ML risk, site infrastructure, climatic conditions) that result in restrictions of what is achievable in terms of ARD/ML prevention and mitigation at the asset. However, it is essential for the asset to comply with regulatory requirements and objectives should align with corporate strategy on ARD/ML. Once suitable ARD/ML objectives are in place, leading and lagging KPIs that will be used to monitor the asset's performance against objectives across all asset development stages can be selected.","(1) Regulatory requirements applicable to the asset's location
(2) The company's internal risk tolerance and corporate policies on ARD/ML
(3) Inventory of materials that will be disturbed or produced by asset activities (see GARD Guide table 4-2), the volumes to be produced, their geochemical characterisation data, and ARD/ML Potential
(4) Mine development plans across all asset development stages and layouts and limitations of design/infrastructure
(5) Relevant asset climate data, including climate change predictions 
(6) Water quality criteria
(7) Learnings from analogue projects",(1) Early engagement with regulator and other asset stakeholders,"(1) ARD/ML governance and strategy → Define ARD/ML governance and strategy at corporate level
(2) Develop and refine ARD/ML management plan → Characterisation [Design]
(3) Develop and Refine ARD/ML management plan → Monitoring program plan [Design]
(4) Integrated closure → Integrated closure","(1) Chapter 3: Corporate, Regulatory, and Community Framework
(2) Chapter 4: Defining the Problem – Characterisation
(3) Chapter 6: Prevention and Mitigation
(4) Chapter 8: Monitoring
(5) Chapter 10: Acid Rock Drainage Communication and Consulting
(6) Chapter 11: Sustainable Mine Closure",Picture,No figure,No figure,Y
14,Design,Develop and refine ARD/ML management plan,Characterisation,"For this asset development stage, leading practice focuses on question 1 “Is ARD/ML likely to occur?”. Geochemical characterisation activities support the assessment of the asset’s economic viability and typically efforts peak during design. Activities supported by geochemical characterisation programs include:
(1) Development of mine plan, mine waste and mine water and ARD/ML management plans
(2) Mine (environmental) permitting
(3) Characterisation of baseline conditions
(4) Pre-feasibility and feasibility studies
(5) Design of mine layout and facilities

Geological characteristics of mineral deposits (GARD Guide table 4-4) and mine design are typically considered in the development and execution of geochemical characterisation programs. ","(1) Are all relevant materials identified for ARD/ML characterisation?
(2) Are the appropriate level and scope of characterisation defined?","Characterisation during the design Stage must be sufficient to allow estimation of significant long-term requirements, hence costs, of ARD/ML management for inclusion in the asset’s economic evaluation (GARD Guide section 4.2.2).

The ARD/ML potential of materials either disturbed or produced by the asset defines the type of drainage that will be generated, which in turn determines the ARD/ML prevention and mitigation measures to be considered in the mine plan and the facility designs. ARD/ML prevention is the key to avoid costly mitigation. Prevention of ARD/ML can be achieved through a risk-based planning and design approach that is applied throughout the life of the asset. Prevention is primarily accomplished in the design stage, with more options and more effective options available earlier in the life of the asset. Effective geochemical characterisation programs lead to better estimations of drainage chemistry, enabling more confident and appropriate selection of ARD/ML prevention measures (eg selection of lower cost, lower risk measures via trade-off studies). ","(1) Mine development plans and layouts across the entire life of asset, including closure designs 
(2) Geological model indicating lithological intersections with Mine Plan and mine layout
(3) Inventory of mine materials that will be disturbed or produced by asset activities (see GARD Guide table 4-2)
(4) For each waste type: (a) Life of asset volume or mass, (b) life of asset production rates, (c) life of asset lithological breakdown for waste rock, (d) life of asset geo-metallurgical units for tailings, (e) sources of materials tested (eg drill core for ore, waste rock and borrow sources, pilot test work for tailings and process wastes)
(5) Corporate characterisation guidelines/requirements
(6) Applicable regulatory requirements","All materials to be disturbed or produced by the asset require ARD/ML evaluation. The level of required data for each material type is determined by the life of asset mass of material, its compositional variability, its anticipated ARD/ML potential, and the proposed management of the material (stored, used, processed). All data generated should be made available in a digital format and asset geochemical database and documented in the ARD/ML management plan. 

Considerations to determine the required data:
(1) Geochemical characterisation programs are typically conducted in phases; confirm pre-existing information including from analogue sites, exploration data, geo-environmental models etc.
(2) Sample selection (GARD Guide section 4.3.2.1). Ensure samples represent each material type (and individual lithologies for waste rocks) and that sample populations are spatially and compositionally representative.
(3) Analyses (GARD Guide section 4.3.2.3). Static testing typically includes acid base accounting (ABA), solid phase geochemistry, short-term leach testing and mineralogical analysis. Kinetic testing of at least 1 to 2 representative samples of waste rock and tailings materials is recommended. All testing must include quality assurance/quality control samples.
(4) Sample numbers (GARD Guide section 4.3.2.2). Static testing can require collection and analysis of several hundred representative samples (dependent on life of asset mass of material, its compositional variability, its anticipated ARD/ML potential and the proposed management of the material). In general, the larger the mass of material, variability, and ARD/ML potential, the more extensive the required geochemical characterisation program. 

The level of effort differs between characterisation studies conducted during scoping phase vs pre-feasibility study, and feasibility study vs. detailed design
(1) During scoping phase, it is usually limited to exploration data, historic data, analogue data, and/or geoenvironmental.
(2) Characterisation efforts usually peak during the pre-feasibility study.
(3) During feasibility study, characterisation is focused on data and information gaps that were identified during the pre-feasibility study.
(4) During detailed design, characterisation is usually limited, but could include ongoing (kinetic) testing of materials.","(1) Develop and refine ARD/ML management plan → All leading practice activities 
(2) Develop and refine ARD/ML management plan → Prediction
(3) Develop and refine ARD/ML management plan → Prevention, mitigation, and treatment","(1) Chapter 4: Defining the Problem – Characterisation
(2) Chapter 4, Table 4-4: Geological Characteristics of Mineral Deposits that Affect Their Environmental Signatures 
(3) Chapter 5: Prediction
(4) Chapter 9: ARD/ML Management and Performance Assessment
(5) Chapter 11: Sustainable Mine Closure",Picture,Picture,Picture,Y
15,Design,Develop and refine ARD/ML management plan,Prediction,"A prediction program for drainage chemistry is a critical part of mine planning and informs water and mine waste management and integrated closure planning. Its primary objective is to evaluate the ARD/ML potential of geologic materials and mine and process wastes, and their likelihood to affect the environment (in particular, water resources). The secondary objectives of a prediction program can include defining prevention methods, selecting mitigation methods, assessing potential water quality impact.

Drainage chemistry from mine and process wastes is determined by their geochemical and physical properties, the mine waste facility design (including material and water management strategies), and site-specific climate conditions. Predicted drainage chemistries are used to determine the need for, and nature of, ARD/ML prevention, mitigation, and treatment measures.

Prediction efforts peak during Design, with the prediction of drainage chemistry supporting the assessment of the economic viability of the asset. Additional activities that are typically supported by prediction programs include:
(1) Development of mine plan, mine waste and mine water and ARD/ML management plans
(2) Mine (environmental) permitting
(3) Characterisation of baseline conditions
(4) Pre-feasibility and feasibility studies
(5) Design of mine layout and facilities
(6) Closure designs

Prediction efforts differ between scoping study, pre-feasibility study, feasibility study, and detailed design.
(1) During the scoping phase, it is usually limited to review of exploration data, historic data, and analogue data.
(2) Prediction efforts usually peak during the pre-feasibility study.
(3) During the feasibility study, the aim is to refine previous predictions; reduce the envelope of uncertainty; and incorporate additional geochemical data, refined facility designs, and updated water and waste management concepts.
(4) During detailed design, prediction is usually limited but could include evaluation of key ARD/ML risks/uncertainties identified during the feasibility study. ","(1) Are the rationales and purposes of drainage chemistry predictions defined?
(2) Are the required types and levels of drainage chemistry predictions defined for operational, closure and post closure asset development stages?","Design stage drainage chemistry predictions must be sufficiently robust to allow estimation of any significant long-term costs of ARD/ML management for inclusion in the economic evaluation of the asset. In general, more mine water, mine waste management and closure options, and more effective options, are available earlier in the life of the asset, making ARD/ML prediction during design a critical activity. 

ARD/ML prevention is the key to avoid costly mitigation. Prevention of ARD/ML can be achieved through a risk-based planning and design approach that is applied throughout the life of the asset. Prevention is primarily accomplished in the design stage, with more options and more effective options available earlier in the life of the asset. The drainage chemistry from mine and process wastes determines the ARD/ML prevention measures to be considered in the mine and closure plans and the facility designs. Effective prediction of drainage chemistry enables more confident and appropriate selection of ARD/ML prevention measures (eg selection of lower cost, lower risk measures via trade-off studies).","(1) Mine development plans and layouts, including closure plans and designs
(2) Geological model indicating lithological intersections with mine plan/layout
(3) Designs of asset infrastructure (underground or open pit mine workings, tailings storage facilities, waste rock storage facilities, low-grade ore stockpiles, process waste facilities, soil stockpiles).
(4) Closure plan landforms, designs, objectives, outcome and criteria
(5) Water and waste management strategies/concepts
(6) Project-specific database of geochemical characterisation data for materials to be disturbed or produced
(7) Corporate drainage prediction guidelines/requirements
(8) Applicable regulatory requirements
(9) Water quality information from analogue sites or geoenvironmental models for similar deposits","Drainage chemistry predictions are required for all mine contact water and typically include runoff water, seepage/process return water, and contact water from management infrastructure. Predictions should be for all individual mine infrastructure, and at an asset-wide level (eg the water quality model). Drainage chemistry predictions for mine infrastructure typically require: (1) Facility-level designs (conceptual at a minimum), (2) the ARD/ML properties of disturbed/processed materials, and (3) facility-level water balance model.

Asset-wide drainage chemistry predictions are based on a water management strategy/concept for the management and use of mine contact water. Drainage chemistry predictions are typically provided as inputs to surface/groundwater models used to evaluate effects in the downstream receiving environments. Drainage chemistry predictions need to be coordinated with respect to detail, content, and schedule with the aforementioned modelling activities. Considerations to determining drainage chemistry predictions:
(1) Drainage chemistry can be predicted by (a) conducting lab/field leachability tests, (b) geochemical modelling, and/or (c) using relevant water quality monitoring data (historic asset or analogue site data).
(2) Drainage chemistry prediction is an iterative process during design as material characterisation data are produced, designs are progressed, and water/waste/closure management strategies are created. See GARD Guide Figure 5-1 for activities to support prediction during design and GARD Guide Figure 5-2 for a flow chart of the iterative process.
(3) Drainage chemistry prediction needs are similar for Feasibility Study and environmental assessment/permitting. The transition between the two study stages is often rapid or they occur in parallel. Drainage predictions are used as input to surface and groundwater assessments/models to assess environmental (water quality) effects on site-specific receptors.
(4) The level of drainage chemistry prediction is a function of the ARD/ML potential of disturbed/processed materials. A more detailed evaluation is required where ARD/ML risks are higher and more costly prevention/mitigation measures may be required. 
(5) Drainage chemistry predictions are inherently uncertain. It is essential to document sources of uncertainty and develop an envelope of results that is reflective of the uncertainties in input parameters, bounding arguments, and assumptions. 

All data and information generated by prediction activities should be made available in a digital format, included (consolidated) and properly referenced in the ARD/ML management plan.","(1) Develop and refine ARD/ML management plan → All leading practice activities
(2) Develop and refine ARD/ML management plan → Development and integration with mine, water, waste, and closure plans
(3) Monitor and assess performance → Transparency in data management and reporting","(1) Chapter 4: Defining the Problem - Characterisation
(2) Chapter 5: Prediction
(3) Chapter 5, Figure 5-1: Generic Prediction Program Flowchart
(4) Chapter 5, Section 5.3.3: Water Quality Prediction
(5) Chapter 11: Sustainable Mine Closure ",Picture,Picture,No figure,Y
16,Design,Develop and refine ARD/ML management plan,"Prevention, Mitigation, and Treatment","Early avoidance of ARD/ML issues is a leading practice that may be achieved through integrating the characterisation and prediction results with mine planning, design, water, waste, and closure management strategies. Avoidance is not synonymous with non-development in mining; rather, it includes the decision not to extract a reactive rock types that will be too difficult to manage in the future (e.g. develop mine designs that avoid or work around difficult rock types).

Prevention is a proactive strategy that removes the need for the reactive approach to mitigation and also has the potential to remove long term post closure liability. Mitigation will be the usual initial course of action for an existing case of mine drainage that is adversely impacting the environment. Subsequent preventative measures may also need to be considered in the context of reducing future contaminant load, and thus reducing the ongoing need for mitigation controls. During the design stage, the focus should be on prevention. The goal of mitigation measures is to maintain or control the rate of sulphide mineral oxidation so that ARD/ML formation is prevented or reduced to minimal or acceptable levels. Treatment of drainage may be required to satisfy environmental objectives and can be achieved through a variety of methods. Mine drainage treatment projects are executed within the overall hierarchy of mine water management. Active long-term post closure operation and maintenance of mine drainage treatment facilities may be less desirable due to the potentially significant ongoing associated liabilities. Passive treatment technologies are, therefore, considered more beneficial in post closure than active treatment technologies, where applicable

The ARD/ML management plan must consider prevention, mitigation, and treatment. The science and engineering of ARD/ML prevention and mitigation are evolving. There are no off-the-shelf solutions that can be applied at all sites that will guarantee acceptable water quality through prevention of ARD/ML. Therefore, the planning for and management of mine material handling and storage should be considered in a risk-based framework that considers risk across all asset development stages.

The implementation of methods for prevention and mitigation depends on many factors, including the mine development stage, deposit type, geochemistry, climatic regime, terrain (or topography), surface water, geology, groundwater, and aquatic and terrestrial ecosystems. Material availability, land management and land use requirements, receptors, risk, cost, maintenance, sustainability, and regulatory requirements will also influence the approach selected.","(1) Are strategic objectives for preventing and mitigating ARD/ML risks defined for all asset development stages?
(2) Are prevention and mitigation measures aimed at meeting strategic objectives incorporated into mine infrastructure designs?","ARD/ML prevention is the key to avoid costly mitigation. Prevention of ARD/ML can be achieved through a risk-based planning and design approach that is applied throughout the life of asset. Prevention is primarily accomplished in the design stage, with more options and more effective options available earlier in the asset life.","(1) Mine plan, including the integrated closure plan if available
(2) Geographic setting and climatic conditions, including climate change predictions
(3) Results from geochemical characterisation program 
(4) Results from prediction of drainage chemistry
(5) Company drainage prediction guidelines/requirements
(6) Applicable regulatory guidelines
(7) Risk acceptance by company and stakeholders","For both prevention and mitigation, the strategic objectives define the control methods required. The process of identifying the strategic objectives should consider: (1) Quantifiable risks to ecological systems, human health, and other receptors; (2) Site-specific discharge water quality criteria; (3) Capital, operating, and maintenance costs of mitigation or preventative measures; (4) Logistics of long-term operations and maintenance; (5) Required system longevity; and (6) Risk of system failure and identification of potential modes of failure

The principal approach to the prevention and mitigation of ARD/ML is to apply methods that minimise the supply of the primary reactants for sulphide oxidation, and/or maximise the amount and availability of acid neutralising reactants. These methods may involve one or more of the following: (1) Minimising oxygen supply; (2) Minimising water infiltration and leaching (water acts as both a reactant and a transport mechanism); (3) Minimising, removing, or isolating sulphide minerals; (4) Controlling pore water solution pH; (5) Maximising availability of acid neutralising minerals and pore water alkalinity; and (6) Controlling bacteria and biogeochemical processes

A typical objective for ARD/ML control is to satisfy environmental criteria using the most cost-effective technique. In general, more options and more effective options are available earlier in the life of asset, when pH may be near neutral and oxidation products have not significantly accumulated. One measure, or a combination of measures, may be required to achieve the desired objective. Design of prevention and mitigation measures and treatment will require analytical/numerical modelling to predict both geochemical and physical performance. The time frame and scheduling of the implementation of control measures becomes important when potentially acid generating/forming materials have a limited predicted time to the onset of ARD production.

Where avoidance and prevention are not possible, post closure water treatment system land requirements should be considered in the design of tailings storage and waste rock facilities so that space is available, when needed, and post closure water treatment does not become a major design constraint that forces the implementation of active treatment technologies. Post closure water treatment has material closure liability implications and should only be considered after all other potential mitigation strategies have been evaluated and deemed insufficient. During the design stage, the ARD/ML management plan describes the anticipated prevention, mitigation and treatment required throughout the life of asset. ","(1) ARD/ML objectives, standards, and KPIs → Set ARD/ML objectives, standards, and KPIs at asset level
(2) Develop and refine ARD/ML management plan → Characterisation
(3) Develop and refine ARD/ML management plan → Prediction","(1) Chapter 6: Prevention and Mitigation
(2) Chapter 6, Figure 6-1: Options and Effectiveness with Time
(3) Chapter 6, Figure 6-18: Prevention and Mitigation Evaluation of Alternatives
(4) Chapter 6, Table 6-7: Summary of Prevention and Mitigative Measures and Climate Considerations
(5) Chapter 11: Sustainable Mine Closure",Picture,Picture,Picture,Y
17,Design,Develop and refine ARD/ML management plan,Monitoring Program Plan,"During design, the ARD/ML management plan and the associated monitoring plan are developed. Monitoring occurs at all asset stages; however, the objectives, components, and intensity of the monitoring activities will change, and the description in the ARD/ML management plan is refined accordingly. Because there may be a lag time to the onset of ARD/ML, prudent environmental management includes an ongoing assessment of the potential for the development of ARD/ML, or the degree to which ARD/ML generation has been realised at this point in time. The design stage also represents an opportunity for continued baseline monitoring as site activities may be limited.","(1) Are suitable ARD/ML monitoring objectives defined for remaining asset development stages
(2) Is the conceptual ARD/ML model suitable to provide a framework for the monitoring program?
(3) Are the data collection activities required to fulfil the monitoring objectives defined?","A statement of clear objectives is required to direct and focus a monitoring program and to avoid expensive and unnecessary data collection efforts. The conceptual site model is used to identify the potential ARD/ML sources, pathways, and receptors for inclusion in the monitoring program. The specific data collection activities (eg analytical parameters, locations, frequency) are designed to fulfil the objectives of the monitoring program.","(1) Mine plan
(2) Sources of ARD/ML (waste rock, tailings, ore, heap leach pile, underground workings (walls), pit (walls))
(3) Geographic setting and climatic conditions
(4) Results from geochemical characterisation program
(5) Results from prediction of drainage chemistry
(6) Company drainage prediction guidelines/requirements
(7) Applicable regulatory requirements
(8) Existing baseline and environmental impact study proposed environmental monitoring programs
(9) Post closure timeframe assumptions ","Monitoring plans focusing on ARD/ML are integrated into broader, site-wide environmental monitoring programs. The ARD/ML management plan section on monitoring can either reference the broader environmental monitoring program for details or the environmental monitoring program can reference the ARD/ML management plan section on monitoring.

The development of the monitoring program during Design should consider:
(1) data requirements (eg climatic, hydrology, hydrogeology, biological, geochemical, gas)
(2) statistical considerations (eg sample variation, frequency distribution)
(3) sampling locations (eg seepage, runoff, supernatant, reference stations, spatial variability, safe access to locations)
(4) sampling frequency (eg considering climate and temporal variability in ARD/ML release and in receptor sensitivity)
(5) sampling methods and protocols (eg site specific characteristics, permit requirements, and required accuracy and precision, standard operating procedures)
(6) analytes and laboratory methods (the parameters typically of most relevance for ARD/ML monitoring programs are: pH, acidity, alkalinity, electrical conductivity, and sulphate and metals of interest as determined for a particular site during characterisation)
(7) relevant regulatory and corporate guidance

Operational controls such as standard operating procedures, KPIs and quality assurance/quality control programs are established to guide the implementation of the monitoring program. Roles, responsibilities, and accountabilities for mine staff to implement the monitoring plan are identified. Data management, analysis, methods for results interpretation (eg comparison criteria, spatial and temporal trends), and reporting schemes are developed to track progress of the monitoring plan","(1) ARD/ML objectives, standards, and KPIs → Set ARD/ML objectives, standards, and KPIs at asset level
(2) Develop and refine ARD/ML management plan → Characterisation 
(3) Develop and Refine ARD/ML management plan → Prediction","(1) Chapter 8: Monitoring
(2) Chapter 8, Figure 8-2: Steps in the Development of an ARD Monitoring Program
(3) Chapter 8, Table 8-2: Common ARD Monitoring Components
(4) Chapter 8, Table 8-5: Monitoring Activity Guidance
(5) Chapter 11: Sustainable Mine Closure ",Picture,Picture,Picture,Y
18,Design,Develop and refine ARD/ML management plan,"Development and Integration with Mine, Water, Waste, and Closure Plans","The need to develop a formal ARD/ML management plan during the design stage is usually triggered by the results of a characterisation and prediction program (GARD Guide chapters 4 and 5) or the results of site monitoring (chapter 8). Formal ARD/ML management plans are typically required for assets where ARD/ML has been identified as an issue (at a scale where prevention/mitigation/management influences the economic viability of the asset). 

Where ARD/ML has been identified as an issue, ARD/ML management plans have the following objectives:
(1) To consolidate and be a repository of all ARD/ML data, information, measures and commitments associated with the project or mine site.
(2) To act as a reference for ARD/ML components of related management and monitoring plans, including environmental management plans, mine waste management plans, mine water management plans, monitoring plans and closure plans.
(3) To be a dynamic document that is updated as required and as projects and mine sites progresses through the stages to retain information and institutional knowledge.","(1) Is an ARD/ML management plan required?
(2) Are the structure and content of the ARD/ML management plan defined?
(3) Are the independencies between the ARD/ML management plan and other management plans, including but not necessarily limited to, mine plans, environmental plans, monitoring plans, mine waste and mine water management plans, closure plans, and social engagement plans, identified and described?","The need for an ARD/ML management plan is established during the design stage. Such plans require resources to develop and maintain in subsequence stages. ARD/ML management plans also create efficiencies for future ARD/ML assessments, operationalisation of ARD/ML management practices, closure planning and communication with internal and external stakeholders. ","Developing an ARD/ML management plan should be considered if there is a reasonable expectation (based, for instance, on data from analogue sites, characterisation and prediction studies) that contact water will be impacted by mining activities to a degree that concentrations of constituents of potential concern will likely exceed regulated water quality limits and/or require ARD/ML mitigation and prevention measures. 

The comprehensiveness of the ARD/ML management plan can be variable depending on the nature and magnitude of the ARD/ML risks and associated prevention/mitigation measures. Active management of mine water (for the purposes of ARD/ML mitigation) typically requires the most comprehensive ARD/ML management plan. 

Information required: 
(1) Relevant ARD/ML characterisation studies
(2) Relevant ARD/ML prediction studies
(3) ARD/ML prevention and mitigation strategies 
(4) Company policies, standards, and guidelines related to ARD/ML management
(5) Outcomes of environmental effects assessments and environmental risk assessments
(6) Applicable regulatory requirements","ARD/ML management plans typically include the following content related to ARD/ML management:
(1) Reference to relevant company policies/standards/operating procedures/KPIs 
(2) Concise project description with specific reference to mine layout, mine infrastructure and materials that will be disturbed and/or generated from the project across all asset development stages.
(3) Summary of material characterisation studies conducted during the relevant design stages (pre-feasibility study, feasibility study, detailed design)
(4) Summary of prediction studies (facility-level as well as site-wide)
(5) Description of ARD/ML strategies for mine infrastructure, mine operations and closure.
(6) Description of operational controls during subsequent stages (standard operating procedures, KPIs, quality assurance/quality control). Operational controls should also define requirements for ARD/ML data management, evaluation and reporting, and be specific to each asset development stage
(7) Defined roles and assigned responsibility and accountability
(8) Description of ARD/ML monitoring and performance assessment requirements.

ARD/ML management plans are a compilation of and consolidate ARD/ML related study data, information, strategies, requirements, and commitments that are usually distributed across multiple studies and documents, over multiple stages. Having this information in one place is invaluable for efficient progression of ARD/ML studies, optimisation/adjustment of operational ARD/ML management practices, and integrated closure. 

All ARD/ML data and information should be made available in a digital format for inclusion in the ARD/ML management plan. It is essential that all functions responsible for ARD/ML planning, mine planning, mine waste and water management planning, closure planning, and social engagement communicate on a regular basis and develop a record of topics discussed, decisions made, required actions, and responsible/accountable parties for execution of those actions. There should be strong connections between the ARD/ML management plan and other environmental management and monitoring plans.",(1) Develop and refine ARD/ML management plan → All leading practice activities,"(1) Chapter 3: Corporate, Regulatory, and Community Framework
(2) Chapter 4: Defining the Problem – Characterisation
(3) Chapter 5: Prediction
(4) Chapter 8: Monitoring
(5) Chapter 9: Acid Rock Drainage Management and Performance Assessment
(6) Chapter 10: Acid Rock Drainage Communication and Consulting
(7) Chapter 11: Sustainable Mine Closure ",No figure,No figure,No figure,Y
19,Design,Implement ARD/ML Plan,Integration with Mine Planning and Operations,,,,,,,,,,,N
20,Design,Monitor and Assess Performance,Transparency in Data Management and Reporting,,,,,,,,,,,N
21,Design,Continual Improvement of ARD/ML Practices,Adaptive Management,,,,,,,,,,,N
